u,v
0,184
0,102
0,39
0,13
0,125
0,4
0,92
0,87
1,140
1,197
1,87
1,204
2,147
2,65
2,84
3,12
3,105
3,28
3,4
3,15
3,30
3,120
4,132
4,111
4,23
4,118
4,30
6,60
6,12
6,26
6,108
6,133
7,37
7,30
7,94
8,181
8,47
8,18
8,38
8,24
9,18
9,28
9,21
9,85
10,34
10,22
10,18
10,30
11,105
11,66
11,144
11,24
12,114
12,49
12,14
12,33
13,37
13,160
14,196
14,79
15,141
15,26
15,16
15,28
16,52
16,32
16,35
17,37
18,72
18,56
18,142
18,119
20,28
20,32
20,100
20,85
20,131
21,30
21,130
22,117
22,178
23,33
23,24
24,32
24,89
26,92
26,27
26,137
26,36
26,105
27,145
27,39
27,166
28,126
29,140
29,177
30,189
30,93
31,38
31,51
31,131
32,114
33,196
33,64
33,176
33,87
34,65
35,99
35,116
36,177
36,89
36,80
37,98
38,107
39,102
39,92
39,205
40,149
40,50
41,105
41,45
41,54
41,77
41,157
42,195
42,74
43,175
44,73
44,65
45,66
45,48
45,59
45,150
45,51
46,70
47,208
47,83
47,94
47,61
47,151
48,74
48,159
48,90
49,206
49,114
49,55
49,212
49,201
49,58
49,153
50,56
50,78
50,202
52,144
52,153
52,71
53,125
54,124
55,88
56,72
56,61
56,60
57,199
57,72
58,93
59,86
59,90
60,77
60,76
61,165
61,163
62,63
62,157
63,146
63,73
63,65
64,85
64,103
65,76
66,209
66,158
67,154
68,181
68,118
68,82
68,99
69,191
70,194
71,76
71,82
72,106
74,152
75,150
75,80
76,79
76,159
76,82
77,153
77,126
79,150
79,80
80,155
80,91
82,205
83,153
83,124
83,167
84,97
85,93
85,96
85,167
85,141
86,97
86,89
88,168
88,90
91,153
93,124
95,110
95,192
95,172
100,182
102,188
103,112
103,108
103,109
103,114
104,185
105,196
106,111
107,185
111,118
112,145
112,126
112,153
113,209
113,174
114,176
114,177
115,195
115,175
115,123
116,119
118,182
118,176
118,189
118,179
118,147
120,121
120,133
122,132
122,138
123,169
124,125
126,157
126,160
126,128
127,129
128,131
131,160
134,176
135,164
136,166
138,170
138,167
139,140
140,147
144,172
145,176
147,181
153,202
155,203
156,207
156,162
160,162
160,169
160,170
163,164
164,196
167,203
168,212
170,206
171,199
176,193
176,183
176,179
180,181
181,182
181,197
195,214
211,214
