id,x,y,tier
0,0.12005,0.243055,1
1,0.151972,0.223433,1
2,0.150772,0.233751,1
3,0.148171,0.236146,1
4,0.125745,0.235187,1
5,0.129058,0.219749,1
6,0.155003,0.226161,1
7,0.170746,0.22822,1
8,0.206719,0.274271,1
9,0.16307,0.240468,1
10,0.102827,0.171303,1
11,0.14763,0.269899,1
12,0.12536,0.236648,1
13,0.212031,0.248678,1
14,0.190749,0.225967,1
15,0.172994,0.259123,1
16,0.140874,0.240555,1
17,0.139097,0.184541,1
18,0.164775,0.246925,1
19,0.119292,0.234032,1
20,0.112328,0.209254,1
21,0.139244,0.2275,1
22,0.118079,0.273657,1
23,0.149556,0.237831,1
24,0.153895,0.20113,1
25,0.166806,0.227725,1
26,0.136591,0.204077,1
27,0.153947,0.220641,1
28,0.156114,0.169719,1
29,0.169866,0.215624,1
30,0.17465,0.239986,1
31,0.133037,0.241072,1
32,0.15838,0.220084,1
33,0.167739,0.259062,1
34,0.141053,0.222019,1
35,0.191938,0.262802,1
36,0.112366,0.326432,1
37,0.142903,0.238895,1
38,0.136357,0.195048,1
39,0.144053,0.270328,1
40,0.1462,0.178726,1
41,0.125187,0.244744,1
42,0.127939,0.189386,1
43,0.18185,0.23945,1
44,0.130673,0.199465,1
45,0.141281,0.227269,1
46,0.14972,0.263036,1
47,0.186401,0.185247,1
48,0.163859,0.255002,1
49,0.194599,0.284654,1
50,0.550444,0.231953,1
51,0.521342,0.264021,1
52,0.500075,0.26092,1
53,0.451324,0.274851,1
54,0.533272,0.238599,1
55,0.478009,0.209972,1
56,0.510255,0.27521,1
57,0.490749,0.248125,1
58,0.451773,0.260113,1
59,0.54715,0.311797,1
60,0.512634,0.307391,1
61,0.484265,0.276754,1
62,0.454389,0.2614,1
63,0.494349,0.217694,1
64,0.542488,0.291083,1
65,0.523351,0.28321,1
66,0.56634,0.244183,1
67,0.525024,0.242474,1
68,0.493167,0.266132,1
69,0.478997,0.258991,1
70,0.516643,0.182671,1
71,0.5153,0.243619,1
72,0.528039,0.234148,1
73,0.508978,0.306314,1
74,0.519683,0.218769,1
75,0.489342,0.283418,1
76,0.518361,0.255166,1
77,0.516806,0.269017,1
78,0.530184,0.296715,1
79,0.482565,0.265467,1
80,0.499684,0.313194,1
81,0.510814,0.254816,1
82,0.507799,0.290794,1
83,0.499017,0.230099,1
84,0.522718,0.259227,1
85,0.509318,0.263269,1
86,0.530387,0.257579,1
87,0.500472,0.285069,1
88,0.519927,0.285618,1
89,0.524913,0.276028,1
90,0.499921,0.226086,1
91,0.555967,0.2661,1
92,0.500708,0.242742,1
93,0.518391,0.263557,1
94,0.523032,0.266723,1
95,0.519619,0.2528,1
96,0.493346,0.274894,1
97,0.537275,0.238705,1
98,0.51817,0.237022,1
99,0.472369,0.299941,1
100,0.869784,0.273763,1
101,0.873166,0.194556,1
102,0.85511,0.221782,1
103,0.83269,0.228454,1
104,0.872713,0.206057,1
105,0.858033,0.22518,1
106,0.856701,0.217162,1
107,0.849069,0.175301,1
108,0.824115,0.232587,1
109,0.822424,0.231027,1
110,0.869513,0.123368,1
111,0.868692,0.146364,1
112,0.829572,0.18682,1
113,0.810893,0.202821,1
114,0.843233,0.181016,1
115,0.810657,0.195643,1
116,0.870905,0.233171,1
117,0.838093,0.156197,1
118,0.855866,0.124538,1
119,0.839269,0.152188,1
120,0.912251,0.176687,1
121,0.834536,0.165206,1
122,0.855781,0.190142,1
123,0.812173,0.249833,1
124,0.840201,0.186314,1
125,0.881828,0.220308,1
126,0.847735,0.260578,1
127,0.91479,0.205217,1
128,0.813769,0.242599,1
129,0.866727,0.152277,1
130,0.87855,0.197584,1
131,0.78388,0.195156,1
132,0.85174,0.191783,1
133,0.791978,0.194128,1
134,0.790033,0.20338,1
135,0.886767,0.180107,1
136,0.814172,0.200078,1
137,0.912232,0.16513,1
138,0.847005,0.184653,1
139,0.788973,0.222663,1
140,0.852233,0.165108,1
141,0.802923,0.264778,1
142,0.877969,0.181814,1
143,0.842772,0.191378,1
144,0.822851,0.195226,1
145,0.800081,0.188959,1
146,0.86614,0.205845,1
147,0.9056,0.234438,1
148,0.860803,0.169236,1
149,0.868727,0.17063,1
150,0.131246,0.775602,1
151,0.178684,0.790863,1
152,0.0908105,0.798781,1
153,0.130235,0.742364,1
154,0.108063,0.797784,1
155,0.12334,0.777637,1
156,0.101755,0.741092,1
157,0.0863174,0.738424,1
158,0.0406496,0.787168,1
159,0.108096,0.749722,1
160,0.098152,0.800483,1
161,0.151094,0.745111,1
162,0.126942,0.760939,1
163,0.0783918,0.757748,1
164,0.144193,0.761389,1
165,0.16624,0.761999,1
166,0.120091,0.733167,1
167,0.156288,0.770528,1
168,0.0661328,0.8142,1
169,0.154931,0.77988,1
170,0.102078,0.779285,1
171,0.0735365,0.80251,1
172,0.128416,0.809067,1
173,0.149848,0.847294,1
174,0.114974,0.822357,1
175,0.145507,0.800732,1
176,0.0714938,0.767354,1
177,0.143776,0.818339,1
178,0.16147,0.806041,1
179,0.0656987,0.800411,1
180,0.113359,0.762591,1
181,0.0782232,0.803732,1
182,0.103554,0.732298,1
183,0.083566,0.803941,1
184,0.0736757,0.784276,1
185,0.150551,0.851965,1
186,0.121569,0.814958,1
187,0.144915,0.804337,1
188,0.119776,0.798593,1
189,0.0380343,0.812818,1
190,0.186036,0.843057,1
191,0.117919,0.792817,1
192,0.122671,0.765308,1
193,0.0638929,0.776866,1
194,0.113536,0.747047,1
195,0.0915971,0.773701,1
196,0.153015,0.765085,1
197,0.141107,0.751873,1
198,0.0823441,0.738579,1
199,0.0964468,0.725496,1
200,0.459752,0.707771,1
201,0.534843,0.67947,1
202,0.521744,0.73699,1
203,0.502809,0.684939,1
204,0.487433,0.683179,1
205,0.523181,0.697524,1
206,0.489677,0.707771,1
207,0.500701,0.742191,1
208,0.442728,0.676156,1
209,0.424451,0.693299,1
210,0.498438,0.722661,1
211,0.521096,0.701959,1
212,0.406937,0.700897,1
213,0.46644,0.679615,1
214,0.53425,0.693077,1
215,0.453165,0.718706,1
216,0.512219,0.700194,1
217,0.564709,0.719862,1
218,0.453573,0.629565,1
219,0.538402,0.72702,1
220,0.509369,0.729683,1
221,0.508164,0.737478,1
222,0.480803,0.710467,1
223,0.464511,0.703145,1
224,0.521542,0.67436,1
225,0.517849,0.704587,1
226,0.537935,0.707423,1
227,0.511395,0.692945,1
228,0.478892,0.698156,1
229,0.464148,0.646499,1
230,0.499478,0.649988,1
231,0.441196,0.695155,1
232,0.498841,0.739506,1
233,0.437871,0.686561,1
234,0.499948,0.688656,1
235,0.49876,0.682719,1
236,0.486256,0.732589,1
237,0.492149,0.661639,1
238,0.461254,0.764354,1
239,0.47009,0.675628,1
