id,x,y,tier
0,0.15598,0.293775,1
1,0.22007,0.381543,0
2,0.0997996,0.223806,1
3,0.113814,0.325052,1
4,0.153859,0.261256,1
5,0.133919,0.246767,1
6,0.225919,0.263028,1
7,0.167012,0.314174,1
8,0.210031,0.222027,1
9,0.183545,0.293446,1
10,0.10475,0.303309,1
11,0.141031,0.292476,1
12,0.137147,0.268495,1
13,0.0828425,0.250662,1
14,0.168075,0.266684,1
15,0.134394,0.287889,1
16,0.197065,0.29309,1
17,0.168918,0.235436,1
18,0.187601,0.252157,1
19,0.176887,0.221686,1
20,0.26644,0.377668,0
21,0.159676,0.363993,1
22,0.137056,0.260004,1
23,0.0220852,0.417581,0
24,0.181741,0.327301,0
25,0.152227,0.287951,1
26,0.166543,0.236613,1
27,0.0401328,0.385333,0
28,0.120271,0.295496,1
29,0.19835,0.304465,1
30,0.185358,0.290484,1
31,0.150711,0.220169,1
32,0.20311,0.378408,0
33,0.164568,0.356222,0
34,0.176457,0.262587,1
35,0.215571,0.227255,1
36,0.175317,0.270435,1
37,0.151432,0.258682,1
38,0.136083,0.299989,1
39,0.192414,0.253936,1
40,0.143706,0.281734,1
41,0.149382,0.297564,1
42,0.119334,0.299238,1
43,0.178899,0.321431,1
44,0.162746,0.255884,1
45,0.151187,0.292958,1
46,0.175382,0.289489,1
47,0.14575,0.209674,1
48,0.171468,0.264846,1
49,0.174734,0.281455,1
50,0.451831,0.228442,1
51,0.538422,0.362572,0
52,0.524259,0.220883,1
53,0.462573,0.2005,1
54,0.472819,0.20434,1
55,0.471215,0.247221,1
56,0.500399,0.204506,1
57,0.497642,0.173816,1
58,0.45155,0.243582,1
59,0.558937,0.358311,0
60,0.488257,0.231828,1
61,0.47318,0.155815,1
62,0.513898,0.191887,1
63,0.475263,0.247428,1
64,0.475698,0.198649,1
65,0.494786,0.192309,1
66,0.498977,0.213736,1
67,0.513977,0.195795,1
68,0.457103,0.307696,1
69,0.509628,0.236832,1
70,0.499741,0.19482,1
71,0.504834,0.183034,1
72,0.550163,0.171404,1
73,0.438711,0.245943,1
74,0.498891,0.20772,1
75,0.464663,0.184715,1
76,0.489311,0.236885,1
77,0.469854,0.175498,1
78,0.500039,0.264393,1
79,0.511152,0.219873,1
