id,x,y,tier
0,0.25839,0.26782,3
1,0.248485,0.287843,3
2,0.213955,0.299449,3
3,0.213622,0.299004,3
4,0.211033,0.283017,3
5,0.181157,0.286409,3
6,0.247799,0.268529,3
7,0.209197,0.295946,3
8,0.250978,0.299414,3
9,0.232213,0.260978,3
10,0.227895,0.269382,3
11,0.237526,0.251811,3
12,0.268851,0.322853,3
13,0.226052,0.346683,3
14,0.209685,0.287899,3
15,0.187277,0.319271,3
16,0.24669,0.30504,3
17,0.22727,0.282717,3
18,0.23063,0.261763,3
19,0.203737,0.277394,3
20,0.202473,0.297971,3
21,0.246476,0.292273,3
22,0.24045,0.308457,3
23,0.204929,0.245351,3
24,0.202726,0.314739,3
25,0.221565,0.266086,3
26,0.247096,0.283845,3
27,0.247851,0.268495,3
28,0.236479,0.284311,3
29,0.221357,0.280064,3
30,0.204272,0.30443,3
31,0.247877,0.273311,3
32,0.212899,0.290675,3
33,0.219189,0.302397,3
34,0.199687,0.298244,3
35,0.238867,0.318308,3
36,0.220856,0.278146,3
37,0.22818,0.305174,3
38,0.228011,0.307899,3
39,0.212048,0.251921,3
40,0.235812,0.282529,3
41,0.23609,0.291657,3
42,0.19568,0.304276,3
43,0.201466,0.324692,3
44,0.243965,0.299236,3
45,0.212972,0.288457,3
46,0.209672,0.288208,3
47,0.208602,0.316795,3
48,0.218488,0.281751,3
49,0.222823,0.280188,3
50,0.20733,0.305932,3
51,0.219649,0.336352,3
52,0.219964,0.306533,3
53,0.216249,0.255119,3
54,0.24683,0.278452,3
55,0.217834,0.310074,3
56,0.211591,0.284414,3
57,0.224317,0.280187,3
58,0.222327,0.286217,3
59,0.212239,0.277606,3
60,0.205437,0.350943,3
61,0.234211,0.309869,3
62,0.22762,0.281861,3
63,0.233474,0.275905,3
64,0.261235,0.26625,3
65,0.203613,0.310903,3
66,0.227054,0.290461,3
67,0.205476,0.283721,3
68,0.220666,0.309904,3
69,0.207695,0.26898,3
70,0.227819,0.328243,3
71,0.235227,0.298563,3
72,0.237856,0.291676,3
73,0.230245,0.261301,3
74,0.234204,0.267353,3
75,0.195796,0.297574,3
76,0.216809,0.315584,3
77,0.218592,0.291916,3
78,0.245626,0.287289,3
79,0.222732,0.245596,3
80,0.220959,0.276946,3
81,0.234468,0.272479,3
82,0.190576,0.290511,3
83,0.217023,0.284033,3
84,0.234464,0.312831,3
85,0.261788,0.299791,3
86,0.220195,0.292803,3
87,0.240545,0.300774,3
88,0.270009,0.28847,3
89,0.217895,0.323831,3
90,0.200701,0.28274,3
91,0.263785,0.285503,3
92,0.191532,0.29433,3
93,0.212141,0.280521,3
94,0.175751,0.295555,3
95,0.232461,0.280155,3
96,0.271018,0.317899,3
97,0.247782,0.277539,3
98,0.2067,0.316188,3
99,0.225914,0.287833,3
100,0.731823,0.167911,3
101,0.739405,0.152911,3
102,0.735902,0.228368,3
103,0.724371,0.188194,3
104,0.737192,0.181076,3
105,0.736342,0.183613,3
106,0.709366,0.1831,3
107,0.73654,0.186129,3
108,0.747283,0.1938,3
109,0.697154,0.220944,3
110,0.751915,0.184163,3
111,0.756748,0.190933,3
112,0.725524,0.189387,3
113,0.743133,0.173,3
114,0.711832,0.206231,3
115,0.732595,0.21057,3
116,0.762,0.211506,3
117,0.749627,0.227818,3
118,0.723115,0.175503,3
119,0.732312,0.182972,3
120,0.740995,0.19151,3
121,0.782383,0.193729,3
122,0.717378,0.210762,3
123,0.732012,0.197963,3
124,0.728026,0.190908,3
125,0.744763,0.191404,3
126,0.745797,0.207399,3
127,0.759883,0.213481,3
128,0.796562,0.205846,3
129,0.725136,0.202497,3
130,0.67552,0.227279,3
131,0.734803,0.222198,3
132,0.69407,0.183838,3
133,0.731179,0.214964,3
134,0.717156,0.135668,3
135,0.759957,0.169285,3
136,0.682123,0.182123,3
137,0.743481,0.163077,3
138,0.733332,0.21819,3
139,0.743675,0.208317,3
140,0.732586,0.189985,3
141,0.72485,0.204905,3
142,0.732089,0.191461,3
143,0.72109,0.186198,3
144,0.714659,0.216048,3
145,0.715282,0.186412,3
146,0.719844,0.206008,3
147,0.727199,0.213243,3
148,0.749837,0.193374,3
149,0.72985,0.211971,3
150,0.751934,0.176048,3
151,0.703339,0.171237,3
152,0.730873,0.192922,3
153,0.721984,0.217677,3
154,0.712082,0.161111,3
155,0.700311,0.205208,3
156,0.717509,0.205451,3
157,0.738512,0.18013,3
158,0.740169,0.184627,3
159,0.712065,0.198749,3
160,0.717623,0.203058,3
161,0.734872,0.172488,3
162,0.718995,0.188722,3
163,0.737946,0.192302,3
164,0.751798,0.139761,3
165,0.73676,0.207654,3
166,0.746408,0.211234,3
167,0.777058,0.240639,3
168,0.736706,0.221177,3
169,0.736002,0.158307,3
170,0.716316,0.186714,3
171,0.727659,0.203011,3
172,0.708807,0.193448,3
173,0.738903,0.235249,3
174,0.707916,0.183806,3
175,0.730411,0.180598,3
176,0.743025,0.18341,3
177,0.722664,0.208353,3
178,0.706242,0.201875,3
179,0.700805,0.195173,3
180,0.736507,0.188086,3
