id,x,y,tier,cluster
0,0.205731,0.475703,3,0
1,0.195102,0.529054,3,0
2,0.186645,0.530209,3,0
3,0.196736,0.475339,3,0
4,0.217595,0.46753,3,0
5,0.201981,0.516306,3,0
6,0.206655,0.49254,3,0
7,0.192186,0.522026,3,0
8,0.200306,0.48746,3,0
9,0.193273,0.474085,3,0
10,0.214354,0.490169,3,0
11,0.189033,0.467856,3,0
12,0.180371,0.500913,3,0
13,0.173229,0.494027,3,0
14,0.192839,0.477509,3,0
15,0.246394,0.475017,3,0
16,0.167388,0.482138,3,0
17,0.194625,0.497614,3,0
18,0.155423,0.528832,3,0
19,0.220349,0.469012,3,0
20,0.242838,0.465591,3,0
21,0.170527,0.481546,3,0
22,0.213847,0.478088,3,0
23,0.202304,0.468656,3,0
24,0.190638,0.465259,3,0
25,0.211346,0.467514,3,0
26,0.186245,0.491166,3,0
27,0.200094,0.513007,3,0
28,0.200489,0.475995,3,0
29,0.176483,0.456103,3,0
30,0.22619,0.498717,3,0
31,0.225546,0.46691,3,0
32,0.219323,0.48478,3,0
33,0.241728,0.484911,3,0
34,0.169886,0.519629,3,0
35,0.188587,0.474099,3,0
36,0.185211,0.501946,3,0
37,0.209927,0.446624,3,0
38,0.189708,0.480817,3,0
39,0.160078,0.512647,3,0
40,0.208191,0.487412,3,0
41,0.162861,0.501519,3,0
42,0.171017,0.510658,3,0
43,0.206843,0.457161,3,0
44,0.167848,0.504766,3,0
45,0.203515,0.496308,3,0
46,0.236526,0.490311,3,0
47,0.226592,0.483767,3,0
48,0.232237,0.488887,3,0
49,0.215581,0.474655,3,0
50,0.196171,0.504806,3,0
51,0.204869,0.509722,3,0
52,0.220207,0.493397,3,0
53,0.224831,0.50526,3,0
54,0.220357,0.499923,3,0
55,0.201175,0.50605,3,0
56,0.219199,0.528911,3,0
57,0.181596,0.510867,3,0
58,0.196214,0.503767,3,0
59,0.184115,0.499062,3,0
60,0.181724,0.461381,3,0
61,0.184076,0.448433,3,0
62,0.160988,0.487118,3,0
63,0.204779,0.507979,3,0
64,0.211756,0.528908,3,0
65,0.189102,0.516069,3,0
66,0.191194,0.524025,3,0
67,0.187167,0.481052,3,0
68,0.175042,0.491819,3,0
69,0.169841,0.514746,3,0
70,0.202205,0.502913,3,0
71,0.220014,0.480417,3,0
72,0.183758,0.481947,3,0
73,0.186467,0.500045,3,0
74,0.195026,0.471673,3,0
75,0.194469,0.475775,3,0
76,0.164764,0.46065,3,0
77,0.218049,0.49623,3,0
78,0.207402,0.439552,3,0
79,0.190658,0.507036,3,0
80,0.18139,0.455597,3,0
81,0.19426,0.479828,3,0
82,0.199354,0.498724,3,0
83,0.207002,0.50078,3,0
84,0.216338,0.470682,3,0
85,0.134371,0.457916,3,0
86,0.199899,0.456966,3,0
87,0.19632,0.469484,3,0
88,0.176471,0.49478,3,0
89,0.195853,0.491619,3,0
90,0.205655,0.508518,3,0
91,0.198889,0.481311,3,0
92,0.181953,0.489402,3,0
93,0.19308,0.499526,3,0
94,0.221291,0.482722,3,0
95,0.218283,0.489066,3,0
96,0.190392,0.509072,3,0
97,0.169944,0.501389,3,0
98,0.191571,0.427143,3,0
99,0.199291,0.488914,3,0
100,0.192756,0.472794,3,0
101,0.172125,0.504929,3,0
102,0.194687,0.488827,3,0
103,0.167158,0.51712,3,0
104,0.216057,0.502497,3,0
105,0.17653,0.468081,3,0
106,0.22822,0.510668,3,0
107,0.203455,0.501449,3,0
108,0.19027,0.467257,3,0
109,0.221247,0.46716,3,0
